weight,USA,BR_Tech,BR_Adj,France,UIAA,Saxon,"Ewbank (AUS, NZL)","Ewbank (South Africa)",Finnland,Norway,Brazil,Kurtyka
0,3-4,1,M,1,1,I,1,1,1,1,I,I
1,,,,,,,2,2,,,,
2,5.0,,,,,,3,3,,,"I sup",
3,,,,,,,4,4,,,,
4,5.1,2,,2,2,II,5,5,2,2,II,II
5,,,,,,,6,6,,,,
6,5.2,,D,,,,7,7,,,"II sup",
7,,,,,,,,,,,,
8,5.3,3,,3,3,III,8,8,3,3,,III
9,,,,,,,9,9,,,,
10,5.4,,VD,4a,4,IV,10,10,,,III,IV
11,,,,,,,,,,,,
12,5.5,4a,S,4b,4+,V,11,11,4,4,"III sup",
13,,,,,5-,,12,12,,,,
14,5.6,4b,HS,4c,5,VI,13,13,,,IV,IV+
15,,,,,,,,,,,,
16,5.7,4c,VS,5a,5+,,14,14,5-,5-,,V-
17,,,,,,,15,15,,,,
18,5.8,,HVS,5b,6-,VIIa,16,16,5,5,"IV sup",V
19,,,,,,,,,,,,
20,5.9,5a,,5c,6,VIIb,17,17,5+,5+,V,V+
21,,,,,,,,18,,,,
22,5.10a,,E1,6a,6+,VIIc,18,19,,6-,VI,VI
23,,,,,,,,,,,,
24,5.10b,5b,,6a+,7-,,19,20,6-,,,VI+
25,,,,,,,,,,,,
26,5.10c,,E2,6b,7,VIIIa,20,21,6,6,"VI sup",VI.1
27,,,,,,,,,,,,
28,5.10d,5c,,6b+,7+,VIIIb,,22,,6+,,VI.1+
29,,,,,,,,,,,,
30,5.11a,,E3,,,VIIIc,21,,6+,,7a,
31,,,,6c,,,,,,7-,,VI.2
32,5.11b,,,,8-,,22,23,,,7b,
33,,,,6c+,,,,,7-,7,,VI.2+
34,5.11c,6a,E4,,,IXa,23,24,,,7c,
35,,,,,,,,,7,,,
36,5.11d,,,7a,8,IXb,,25,,7+,,VI.3
37,,,,,,,,,,,,
38,5.12a,,E5,7a+,8+,IXc,24,26,7+,7+,8a,VI.3+
39,,,,,,,,,,,,
40,5.12b,,,7b,,,25,27,8-,8-,8b,VI.4
41,,,,,,,,,,,,
42,5.12c,6b,E6,7b+,9-,Xa,26,28,8,8,8c,
43,,,,,,,,,,,,
44,5.12d,,,7c,9,Xb,27,29,8+,,9a,VI.4+
45,,,,,,,,,,,,
46,5.13a,,E7,7c+,9+,Xc,28,30,9-,8+,9b,VI.5
47,,,,,,,,,,,,
48,5.13b,6c,,8a,,,29,31,9,9-,9c,VI.5+
49,,,,,,,,,,,,
50,5.13c,,E8,8a+,10-,XIa,30,32,9+,,10a,
51,,,,,,,,,,,,
52,5.13d,,E9,8b,10,XIb,31,33,10-,9,10b,VI.6
53,,,,,,,,,,,,
54,5.14a,7a,E10,8b+,10+,XIc,32,34,10,,10c,VI.6+
55,,,,,,,,,,,,
56,5.14b,,,8c,,,33,35,10+,9+,11a,VI.7
57,,,,,,,,,,,,
58,5.14c,7b,E11,8c+,11-,XIIa,34,36,11-,,11b,VI.7+
59,,,,,,,,,,,,
60,5.14d,,,9a,11,XIIb,35,37,11,10-,11c,VI.8
61,,,,,,,,,,,,
62,5.15a,7c,,9a+,11+,,36,38,,,12a,
63,,,,,,,,,,,,
64,5.15b,,,9b,,,37,39,,,12b,
65,,,,,,,,,,,,
66,5.15c,,,9b+,12-,,38,40,,,12c,
67,,,,,,,,,,,,
68,5.15d,,,9c,12,,39,,,,,
